COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer)
21050N2.cif,19.34281,18.67391,0.359797,3928.42,2.25505,0.787508,0,0.564705882,0.376470588,0.023529412,0.035294118,0,0,0,0,0.666666667,253,0.658854167,0.058823529,0.192941176,8.339015826,1.198651138,8.459304594
13070N2.cif,21.71779,21.48075,0.626797,1652.57,1.13246,0.630622,0,0.473684211,0.263157895,0.105263158,0.157894737,0,0,0,0,0.666666667,73,0.675925926,0.263157895,0.863157895,3.315151833,2.160885513,8.457573081
13011N2.cif,37.4441,37.29623,0.497001,1494.69,1.51786,0.717084,0,0.628571429,0.285714286,0,0.057142857,0,0,0.028571429,0,0,205,0.776515152,0.057142857,0.196571429,2.724224352,2.914484502,8.451746584
19411N2.cif,36.19593,36.03691,0.522701,1864.73,1.42425,0.727679,0,0.607142857,0.357142857,0.035714286,0,0,0,0,0,0,283,0.693627451,0.035714286,0.108571429,5.523403901,1.340931505,8.414360608
21400N2.cif,27.19937,27.05362,0.412821,2377.29,1.87423,0.730464,0,0.56,0.4,0.04,0,0,0,0,0,0,106,0.630952381,0.04,0.1216,4.172314805,2.233264208,8.392518821
12024N2.cif,32.24029,32.07521,0.429733,2069.12,1.84207,0.763719,0,0.589147287,0.248062016,0.062015504,0.062015504,0,0,0.031007752,0.007751938,1,117,0.769736842,0.124031008,0.401860465,3.755492455,2.274350407,8.372807796
20471N2.cif,27.69353,27.51608,0.429975,2242.37,1.82248,0.752859,0,0.571428571,0.333333333,0,0.095238095,0,0,0,0,0,103,0.715277778,0.095238095,0.327619048,4.952634604,1.74306337,8.346816509
19366N2.cif,35.1986,35.03437,0.385817,2143.43,2.08415,0.786444,0,0.607142857,0.357142857,0.035714286,0,0,0,0,0,0,142,0.696078431,0.035714286,0.108571429,4.639608715,1.984168727,8.343027398
20200N2.cif,31.90137,31.82555,0.45887,2355.17,1.66753,0.803131,0,0.574468085,0.382978723,0.042553191,0,0,0,0,0,0,211,0.651234568,0.042553191,0.129361702,10.24129044,0.737080616,8.309220403
19464N2.cif,21.51492,21.24083,0.51612,2094.13,1.41545,0.684637,0,0.473684211,0.421052632,0.052631579,0.052631579,0,0,0,0,1,58,0.537037037,0.105263158,0.341052632,5.074201785,1.544914549,8.27366252
19281N2.cif,29.55916,29.37082,0.533802,2016.72,1.35769,0.688287,0,0.551020408,0.367346939,0.040816327,0.040816327,0,0,0,0,1,211,0.651234568,0.081632653,0.264489796,5.007666442,1.495595487,8.218902969
21052N2.cif,18.66837,17.72865,0.378504,3660.02,2.11665,0.765182,0,0.539325843,0.404494382,0.02247191,0.033707865,0,0,0,0,0.666666667,237,0.6171875,0.056179775,0.184269663,7.113843078,1.335167474,8.216555519
20402N2.cif,13.579,13.28883,0.461471,3463.47,1.64522,0.765405,0,0.52,0.4,0.04,0.04,0,0,0,0,1,94,0.602564103,0.08,0.2592,11.70255805,0.663046178,8.186058425
21190N2.cif,41.18521,41.07749,0.353013,2225.88,2.34677,0.80828,0,0.517857143,0.339285714,0.089285714,0.053571429,0,0,0,0,1.666666667,110.5,0.635057471,0.142857143,0.455714286,4.209158218,2.27219297,8.15093716
15181N2.cif,31.97817,31.79613,0.520358,1584.98,1.4746,0.738617,0,0.587570621,0.225988701,0.06779661,0.09039548,0,0,0.02259887,0.005649718,0.75,163,0.783653846,0.15819209,0.517062147,4.161536471,1.696526823,8.104953379
20391N2.cif,26.02626,25.80438,0.493969,2018.89,1.54451,0.726367,0,0.588235294,0.308823529,0.058823529,0,0.014705882,0.029411765,0,0,0,221,0.690625,0.088235294,0.295882353,5.253175734,1.439444987,8.103774578
20211N2.cif,20.2998,19.94673,0.538649,2102.28,1.3737,0.781237,0,0.5625,0.40625,0.03125,0,0,0,0,0,0,68.5,0.634259259,0.03125,0.095,10.27607223,0.627161697,8.100463824
15252N2.cif,22.61732,22.49059,0.520862,2056.67,1.44238,0.73111,0,0.543478261,0.347826087,0.108695652,0,0,0,0,0,0,64,0.64,0.108695652,0.330434783,5.168883361,1.361400977,8.003919996
19361N2.cif,33.24253,33.04876,0.38916,2234.58,2.08398,0.78555,0,0.571428571,0.333333333,0.047619048,0,0.047619048,0,0,0,0,100,0.694444444,0.047619048,0.144761905,4.754378124,1.838153697,7.979802072
19181N2.cif,25.68521,25.49386,0.521754,2034.41,1.44907,0.73012,0,0.5,0.3125,0.125,0.0625,0,0,0,0,2,61,0.635416667,0.1875,0.595,3.849658839,1.816923152,7.958539671
21394N2.cif,35.57159,35.29817,0.320161,2708.49,2.61618,0.743869,0,0.454545455,0.393939394,0.060606061,0.090909091,0,0,0,0,0.666666667,97,0.538888889,0.151515152,0.496969697,2.817824588,3.970333229,7.958300828
20392N2.cif,27.4266,27.19968,0.471421,2109.24,1.62335,0.73086,0,0.588235294,0.338235294,0.058823529,0,0.014705882,0,0,0,0,221,0.690625,0.058823529,0.178823529,4.582118335,1.684130216,7.941446926
18050N2.cif,27.26495,27.09127,0.42524,2294.58,1.83026,0.728063,0,0.52,0.4,0.04,0.04,0,0,0,0,1,94,0.602564103,0.08,0.2592,4.252949759,2.011334649,7.910286414
21001N2.cif,28.12187,27.90898,0.535607,1807.04,1.45614,0.739096,0,0.571428571,0.333333333,0.047619048,0,0,0.047619048,0,0,0,94,0.652777778,0.095238095,0.285714286,4.111523901,1.626243325,7.905875902
21381N2.cif,15.15191,14.84828,0.705099,1655.41,0.925118,0.621436,0,0.56,0.32,0.08,0,0.04,0,0,0,0,58,0.69047619,0.08,0.2432,4.503417663,1.34101476,7.90381639
21020N2.cif,8.21562,7.06034,0.513434,4002.61,1.40544,0.739537,0,0.532608696,0.434782609,0.032608696,0,0,0,0,0,0,57.5,0.586734694,0.032608696,0.099130435,12.72721082,0.547023668,7.895841787
18133N3.cif,8.65257,7.14934,0.619925,2876.21,1.11407,0.71233,1,0.563829787,0.382978723,0.042553191,0,0,0,0.010638298,0,0,205,0.644654088,0.042553191,0.129361702,12.59872432,0.474659131,7.887572225
20390N2.cif,23.84687,23.76556,0.519867,1943.03,1.45106,0.721258,0,0.588235294,0.308823529,0.058823529,0,0.014705882,0.029411765,0,0,0,221,0.690625,0.088235294,0.271764706,5.002511628,1.406664312,7.880903691
21311N3.cif,21.70429,21.55021,0.567372,1973.29,1.3215,0.800511,1,0.62295082,0.344262295,0.032786885,0,0,0,0,0,0,217,0.713815789,0.032786885,0.099672131,8.389524059,0.689826535,7.851036095
17020N2.cif,22.4178,22.16929,0.530409,1950.41,1.41283,0.709655,0,0.5,0.3125,0.125,0.0625,0,0,0,0,2,61,0.635416667,0.1875,0.595,5.270788006,1.323694684,7.843972745
19090N2.cif,28.64646,28.4495,0.471219,1966.4,1.65286,0.743468,0,0.578947368,0.263157895,0.105263158,0.052631579,0,0,0,0,2,97,0.734848485,0.157894737,0.501052632,4.02787921,1.860570597,7.841916547
17080C2.cif,14.92983,14.32288,0.870877,1503.28,0.790054,0.814922,0,0.551282051,0.384615385,0.051282051,0,0,0.012820513,0,0,0,107,0.622093023,0.064102564,0.193846154,9.251517967,0.398809198,7.821059269
19463N2.cif,8.1264,7.46928,0.596402,2898.89,1.17823,0.696349,0,0.5,0.357142857,0.071428571,0.071428571,0,0,0,0,1,52,0.619047619,0.142857143,0.462857143,14.17896947,0.444436377,7.81690555
16320N2.cif,22.85845,22.64663,0.594918,1711.5,1.19727,0.700647,0,0.529411765,0.352941176,0.058823529,0.058823529,0,0,0,0,1,70,0.648148148,0.117647059,0.381176471,5.1978706,1.20662461,7.80851716
19050N2.cif,33.67402,33.50221,0.404282,2178.88,2.00034,0.777454,0,0.578947368,0.263157895,0.105263158,0,0.052631579,0,0,0,0,97,0.734848485,0.105263158,0.32,3.987566658,2.085409662,7.806798967
20182N2.cif,18.45428,18.13247,0.638677,1749.23,1.09699,0.671692,0,0.551724138,0.344827586,0.068965517,0.034482759,0,0,0,0,2,64,0.666666667,0.103448276,0.328275862,5.982866451,1.016916793,7.795800757
15185N2.cif,28.61691,28.45106,0.54517,1649.75,1.39509,0.728375,0,0.558823529,0.205882353,0.088235294,0.117647059,0,0,0.029411765,0,0.75,119,0.782894737,0.204379562,0.668029197,4.218458219,1.556761434,7.788921862
13090N2.cif,26.31246,26.12562,0.575112,1639.66,1.29912,0.743181,0,0.5625,0.1875,0,0.125,0.0625,0,0.0625,0,0,91,0.842592593,0.125,0.43,6.62556762,0.92065395,7.78719571
18111N2.cif,17.6262,17.28794,0.725925,1583.1,0.931116,0.714112,0,0.622222222,0.288888889,0.044444444,0,0.044444444,0,0,0,0,169,0.754464286,0.044444444,0.135111111,7.609081313,0.660689247,7.783986938
13122N2.cif,27.83853,27.70121,0.402122,2336.28,1.95995,0.757596,0,0.6,0.392307692,0.007692308,0,0,0,0,0,0,105.5,0.676282051,0.007692308,0.023384615,5.114721574,1.670109465,7.772791035
17153N2.cif,24.14078,23.9675,0.518329,1843.77,1.4064,0.680804,0,0.488764045,0.426966292,0.04494382,0.039325843,0,0,0,0,1.142857143,95,0.545977011,0.084269663,0.271910112,3.493410362,2.101453714,7.737694701
07000N2.cif,31.52022,31.34049,0.44676,1936.58,1.74317,0.763616,0,0.571428571,0.285714286,0,0.095238095,0,0,0.047619048,0,0,109,0.756944444,0.095238095,0.327619048,5.370231871,1.409982559,7.71561646
15131N2.cif,34.37058,34.20786,0.399337,2085.11,2.00387,0.777067,0,0.65,0.2,0,0.1,0,0,0.05,0,0,133,0.852564103,0.1,0.344,5.34154644,1.558285714,7.714835416
19410N2.cif,35.72923,35.57283,0.502437,1896.98,1.47859,0.712863,0,0.6,0.36,0.04,0,0,0,0,0,0,247,0.686111111,0.04,0.1216,4.736921248,1.518628308,7.695731274
20531N2.cif,23.52769,23.24997,0.489795,2346.39,1.57576,0.775596,0,0.590909091,0.272727273,0.045454545,0.090909091,0,0,0,0,0.5,235,0.753205128,0.136363636,0.450909091,10.66042497,0.635566268,7.687759991
22020N2.cif,8.0167,6.01664,0.544533,4204.55,1.32859,0.713568,0,0.509433962,0.41509434,0.037735849,0.037735849,0,0,0,0,1,280,0.576131687,0.075471698,0.244528302,13.37434597,0.49483689,7.680840432
17150N2.cif,25.62212,25.51861,0.493129,1970.01,1.50711,0.701642,0,0.5,0.415662651,0.042168675,0.042168675,0,0,0,0,1,94.5,0.569277108,0.084337349,0.273253012,3.886160148,1.911439654,7.67665383
21082N2.cif,28.96942,28.84962,0.50194,1796.99,1.5111,0.734773,0,0.6,0.28,0.04,0.08,0,0,0,0,0.5,136,0.755555556,0.12,0.3968,5.047584031,1.379259248,7.669181373
20203N2.cif,33.14216,33.0583,0.500587,2036.35,1.49932,0.793859,0,0.607843137,0.352941176,0.039215686,0,0,0,0,0,0,259,0.696236559,0.039215686,0.119215686,10.27354386,0.628511169,7.664269535
12022N2.cif,26.75925,26.564,0.545355,1784.05,1.39003,0.738904,0,0.587155963,0.220183486,0.073394495,0.073394495,0,0,0.036697248,0.009174312,1,101,0.7890625,0.146788991,0.47559633,4.616750782,1.372120118,7.624483534
19210N2.cif,27.59709,27.52417,0.406917,2423.15,1.9372,0.751777,0,0.529411765,0.392156863,0.078431373,0,0,0,0,0,0,97,0.598765432,0.078431373,0.238431373,4.560807539,1.824958476,7.605086404
