COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_H2S(10^-8 m2/s),P_H2S(10^4 Barrer)
20472N2.cif,34.55963,34.39789,0.34938,2451.16,2.34896,0.788749,0,0.576923077,0.346153846,0,0.076923077,0,0,0,0,0,127,0.705555556,0.076923077,0.264615385,17.59556319,0.858005802,12.42638513
19070N2.cif,28.83691,28.64974,0.511162,1921.94,1.49616,0.750704,0,0.523809524,0.285714286,0.142857143,0.047619048,0,0,0,0,3,88,0.666666667,0.19047619,0.598095238,19.42223574,0.556657884,12.39165823
19072N2.cif,8.10224,7.36122,0.511212,5148.64,1.50798,0.824032,0,0.523809524,0.285714286,0.142857143,0.047619048,0,0,0,0,3,131.5,0.664141414,0.19047619,0.598095238,31.0607688,0.316689884,12.37673406
19455N2.cif,33.98261,33.56429,0.23879,3677.88,3.65752,0.847875,0,0.518072289,0.421686747,0.060240964,0,0,0,0,0,0,146.5,0.567829457,0.060240964,0.18313253,22.16506182,0.921587006,12.35286815
19364N2.cif,31.72995,31.51616,0.41142,2335.11,1.97006,0.783009,0,0.516129032,0.387096774,0.032258065,0.032258065,0.032258065,0,0,0,1,118,0.614583333,0.064516129,0.209032258,18.33692341,0.697379394,12.30445228
17150N2.cif,25.62212,25.51861,0.493129,1970.01,1.50711,0.701642,0,0.5,0.415662651,0.042168675,0.042168675,0,0,0,0,1,94.5,0.569277108,0.084337349,0.273253012,12.27448024,0.967717112,12.27558516
15070N2.cif,29.30552,29.1214,0.430698,2055.77,1.80906,0.73863,0,0.545454545,0.363636364,0.045454545,0.045454545,0,0,0,0,1,94,0.652777778,0.090909091,0.294545455,15.73336984,0.819854864,12.2566865
16057N2.cif,25.10039,25.04365,0.581344,1658.6,1.25956,0.726554,0,0.559585492,0.196891192,0.010362694,0.124352332,0.046632124,0,0.062176166,0,0.083333333,178,0.824074074,0.134715026,0.459274611,24.11893266,0.40229458,12.24102852
19466N2.cif,29.22245,29.02234,0.477852,1982.24,1.59405,0.726861,0,0.48,0.4,0.04,0.08,0,0,0,0,0.5,82,0.569444444,0.12,0.3968,17.6006059,0.669250895,12.22013223
19210N2.cif,27.59709,27.52417,0.406917,2423.15,1.9372,0.751777,0,0.529411765,0.392156863,0.078431373,0,0,0,0,0,0,97,0.598765432,0.078431373,0.238431373,18.00287005,0.740696561,12.184045
19362N2.cif,36.72689,36.55998,0.373694,2171.05,2.19913,0.810908,0,0.583333333,0.333333333,0.041666667,0,0.041666667,0,0,0,0,118,0.702380952,0.041666667,0.126666667,18.90444798,0.711809829,12.17952191
