COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_CH4(10^-8m2/s),P_H2S(10^4Barrer)
linker109_N_linker5_CH_pcb_relaxed_interp_2.cif,31.40772,22.26207,0.166359,7331.37,5.4701,0.924155,1,0.529411765,0.423529412,0.047058824,0,0,0,0,0,833,0.578472222,0.047058824,0.143058824,45.45951113,1.613412918,36.50077985
linker109_N_linker53_CH_sra_relaxed_interp_2.cif,21.73687,16.99429,0.229726,7317.68,3.82673,0.888043,1,0.504761905,0.419047619,0.076190476,0,0,0,0,0,465,0.548349057,0.076190476,0.231619048,52.06118424,1.168292322,40.1652473
linker109_N_linker54_CH_sod_relaxed_interp_2.cif,32.62456,22.65331,0.208975,6691.68,4.30434,0.913931,1,0.528089888,0.314606742,0.08988764,0.06741573,1.333333333,0,0,0,745,0.660460993,0.157303371,0.505168539,47.82804799,1.352518151,39.99210231
linker109_N_linker56_CH_mer_relaxed.cif,36.74763,20.86786,0.209294,5683.61,4.29137,0.906744,1,0.515789474,0.336842105,0.126315789,0,0,0.021052632,0,0,961,0.612882653,0.126315789,0.384,30.85116495,1.944258369,36.84747624
linker109_N_linker58_CH_unc_relaxed_interp_2.cif,22.68429,19.56714,0.203157,7097.12,4.42179,0.917099,1,0.536231884,0.347826087,0.115942029,0,0,0,0,0,185,0.625,0.115942029,0.352463768,67.0044116,1.354637091,54.74129981
linker109_N_linker60_CH_sod_relaxed_interp_2.cif,22.9518,19.22023,0.167581,7210.23,5.45038,0.92837,1,0.50617284,0.395061728,0.098765432,0,0,0,0,0,553,0.56199187,0.098765432,0.300246914,27.95273575,2.671922424,37.6127228
linker109_N_linker60_CH_unj_relaxed_interp_2.cif,24.48735,23.73229,0.189828,7492.2,4.74156,0.916342,1,0.50617284,0.395061728,0.098765432,0,0,0,0,0,277,0.56300813,0.098765432,0.300246914,53.50376224,1.452626784,43.76198046
linker109_N_linker63_CH_umi_relaxed_interp_2.cif,34.17213,15.17581,0.180436,7135.06,5.03501,0.917193,1,0.506493506,0.363636364,0.103896104,0.025974026,4,0,0,0,1473,0.590144231,0.12987013,0.405194805,42.33115082,1.787870158,40.5434505
linker109_N_linker64_CH_lon_relaxed_interp_2.cif,21.47782,15.59118,0.203592,7014.45,4.40745,0.910763,1,0.534246575,0.328767123,0.109589041,0.02739726,4,0,0,0,201,0.644230769,0.136986301,0.42739726,85.27370005,0.920416305,47.10925461
linker109_N_linker65_CH_gis_relaxed_interp_2.cif,33.89959,19.74745,0.174748,7699.07,5.23532,0.927077,1,0.561643836,0.273972603,0.164383562,0,0,0,0,0,897,0.683689024,0.164383562,0.499726027,47.58050657,1.633186674,40.75056586
linker109_N_linker65_CH_sod_relaxed_interp_2.cif,30.27928,21.85227,0.180869,7184.21,5.04145,0.923545,1,0.561643836,0.273972603,0.164383562,0,0,0,0,0,673,0.683943089,0.164383562,0.499726027,46.40081364,1.784734296,44.77773256
linker109_N_linker68_CH_qtz_relaxed_interp_2.cif,18.6362,16.89276,0.27144,6769.33,3.19953,0.880711,1,0.506849315,0.301369863,0.136986301,0.054794521,2.5,0,0,0,142,0.63963964,0.191780822,0.604931507,62.18539438,0.702302559,33.79563767
linker109_N_linker68_CH_sod_relaxed_interp_2.cif,33.01219,23.90055,0.178257,7264.36,5.12562,0.92691,1,0.506849315,0.301369863,0.136986301,0.054794521,2.5,0,0,0,565,0.636261261,0.191780822,0.604931507,47.34612274,1.635349042,41.41138688
linker109_N_linker75_CH_dft_relaxed_interp_2.cif,22.91621,15.7435,0.198393,6890.13,4.5428,0.904128,1,0.494252874,0.367816092,0.091954023,0.045977011,2,0,0,0,401,0.582848837,0.137931034,0.437701149,43.70884064,1.585254469,40.23141162
linker109_N_linker77_CH_unc_relaxed_interp_2.cif,21.77922,18.65997,0.212349,7326.48,4.19885,0.909583,1,0.52,0.373333333,0.106666667,0,0,0,0,0,185,0.592948718,0.106666667,0.324266667,80.56169649,0.867794078,43.70977532
linker109_N_linker82_CH_unc_relaxed_interp_2.cif,22.10844,20.13454,0.213119,6979.06,4.18039,0.905683,1,0.52,0.373333333,0.106666667,0,0,0,0,0,185,0.592948718,0.106666667,0.324266667,76.88639322,0.907348835,43.58759368
linker109_N_linker84_CH_qtz_relaxed_interp_2.cif,19.10124,17.45627,0.247845,7412.1,3.53277,0.897112,1,0.506849315,0.356164384,0.136986301,0,0,0,0,0,130,0.585585586,0.136986301,0.416438356,68.17894157,0.770913496,37.82887844
linker109_N_linker85_CH_gis_relaxed_interp_2.cif,32.40715,17.39929,0.170566,7483.58,5.35921,0.925027,1,0.518987342,0.35443038,0.101265823,0.025316456,4,0,0,0,801,0.610518293,0.126582278,0.394936709,52.01843957,1.574277984,41.82407554
linker109_NH_linker40_CO_qtz_relaxed_interp_2.cif,23.19569,21.81862,0.203421,6334.62,4.45746,0.91948,1,0.546391753,0.288659794,0.082474227,0.082474227,1,0,0,0,223,0.701257862,0.164948454,0.53443299,39.35571495,1.898483865,45.23697156
linker109_NH_linker41_CO_npo_relaxed_interp_2.cif,26.50669,20.9874,0.184984,6763.33,4.92639,0.925361,1,0.530864198,0.320987654,0.074074074,0.074074074,1,0,0,0,343,0.664728682,0.148148148,0.48,43.03900255,1.893004537,45.14399037
linker109_NH_linker58_CO_npo_relaxed_interp_2.cif,28.10553,23.94744,0.168068,6974.05,5.48242,0.927404,1,0.506849315,0.328767123,0.109589041,0.054794521,2,0,0,0,277,0.623873874,0.164383562,0.521643836,33.87403376,2.305822892,39.40829025
linker109_NH_linker77_CH2_npo_relaxed_interp_2.cif,25.53344,22.14807,0.163896,7787.05,5.5805,0.921247,1,0.469879518,0.43373494,0.096385542,0,0,0,0,0,229,0.489316239,0.096385542,0.293012048,30.8242899,2.507733333,37.77979598
linker110_C_linker16_C_sra_relaxed.cif,22.4754,19.77621,0.196231,6577.64,4.57929,0.91084,1,0.485714286,0.457142857,0.057142857,0,0,0,0,0,273,0.501838235,0.057142857,0.173714286,34.95192438,1.9638505,39.71274996
linker110_C_linker21_C_dft_relaxed.cif,24.98427,19.93267,0.213057,6736.57,4.13505,0.881498,1,0.488372093,0.511627907,0,0,0,0,0,0,161,0.479166667,0,0,30.13400316,1.8095145,33.14948379
linker110_C_linker25_C_ana_relaxed.cif,22.81036,18.27397,0.25335,5482.03,3.47006,0.886332,1,0.485714286,0.342857143,0.057142857,0.114285714,0.5,0,0,0,1009,0.618259804,0.171428571,0.566857143,68.54066073,0.869328097,43.31018861
linker110_C_linker27_C_umw_relaxed.cif,22.32366,21.96508,0.251669,5812.06,3.47345,0.891523,1,0.513513514,0.405405405,0.027027027,0.054054054,0.5,0,0,0,361,0.59375,0.081081081,0.268108108,60.90165381,1.070279979,47.34013554
linker110_C_linker31_C_pcb_relaxed.cif,23.87096,21.60794,0.183307,6084.25,4.92224,0.912156,1,0.485714286,0.457142857,0.057142857,0,0,0,0,0,273,0.501838235,0.057142857,0.173714286,25.29500707,2.83358019,38.7935225
linker110_C_linker32_C_gis_relaxed.cif,29.08313,22.1785,0.17769,6121.35,5.12218,0.922582,1,0.454545455,0.424242424,0.121212121,0,0,0,0,0,225,0.46875,0.121212121,0.368484848,31.84442379,2.435160104,41.14997855
linker110_C_linker36_C_ukc_relaxed.cif,17.41916,15.17573,0.240822,6122.33,3.64742,0.909806,1,0.529411765,0.411764706,0.058823529,0,0,0,0,0,673,0.584201389,0.058823529,0.178823529,73.45603527,0.849759958,44.26999125
